GEO_ID,NAME,totalpov,percentpov
30033,ZCTA5 30033,30022,8.6
30039,ZCTA5 30039,46568,8.2
30067,ZCTA5 30067,46050,13.6
30079,ZCTA5 30079,3846,15.2
30080,ZCTA5 30080,58501,9.4
30084,ZCTA5 30084,36954,9.6
30303,ZCTA5 30303,3041,49.7
30305,ZCTA5 30305,24926,9.5
30306,ZCTA5 30306,24485,9.7
30307,ZCTA5 30307,20323,7
30308,ZCTA5 30308,19680,20.4
30309,ZCTA5 30309,25364,8.4
30310,ZCTA5 30310,28460,25.3
30311,ZCTA5 30311,35308,26.5
30312,ZCTA5 30312,23698,21.8
30313,ZCTA5 30313,4847,29.7
30314,ZCTA5 30314,19718,36.7
30315,ZCTA5 30315,33605,34.2
30316,ZCTA5 30316,32808,13.6
30317,ZCTA5 30317,13893,9.2
30318,ZCTA5 30318,53037,19
30319,ZCTA5 30319,44071,8.3
30324,ZCTA5 30324,28654,13.6
30326,ZCTA5 30326,6643,13.4
30327,ZCTA5 30327,22911,3.2
30328,ZCTA5 30328,38669,5.2
30329,ZCTA5 30329,26595,18.1
30337,ZCTA5 30337,13247,23.6
30338,ZCTA5 30338,35565,5.4
30339,ZCTA5 30339,25239,4.6
30340,ZCTA5 30340,28975,17.5
30341,ZCTA5 30341,31699,17.2
30342,ZCTA5 30342,31338,8.1
30344,ZCTA5 30344,31694,24.1
30345,ZCTA5 30345,25755,9.9
30346,ZCTA5 30346,5008,1
30354,ZCTA5 30354,16651,24.6
30360,ZCTA5 30360,15951,15.9
30363,ZCTA5 30363,4709,33.6
