GEO_ID,NAME,S1902_C01_001E
53001,"Adams County, Washington",6035
53003,"Asotin County, Washington",9286
53005,"Benton County, Washington",73073
53007,"Chelan County, Washington",29383
53009,"Clallam County, Washington",33197
53011,"Clark County, Washington",178478
53013,"Columbia County, Washington",1795
53015,"Cowlitz County, Washington",42354
53017,"Douglas County, Washington",15435
53019,"Ferry County, Washington",3175
53021,"Franklin County, Washington",27263
53023,"Garfield County, Washington",986
53025,"Grant County, Washington",31908
53027,"Grays Harbor County, Washington",29433
53029,"Island County, Washington",35326
53031,"Jefferson County, Washington",15051
53033,"King County, Washington",900061
53035,"Kitsap County, Washington",105758
53037,"Kittitas County, Washington",19162
53039,"Klickitat County, Washington",9268
53041,"Lewis County, Washington",31118
53043,"Lincoln County, Washington",4628
53045,"Mason County, Washington",25242
53047,"Okanogan County, Washington",17884
53049,"Pacific County, Washington",9714
53051,"Pend Oreille County, Washington",5798
53053,"Pierce County, Washington",330999
53055,"San Juan County, Washington",8459
53057,"Skagit County, Washington",49263
53059,"Skamania County, Washington",4866
53061,"Snohomish County, Washington",298815
53063,"Spokane County, Washington",206502
53065,"Stevens County, Washington",17883
53067,"Thurston County, Washington",112323
53069,"Wahkiakum County, Washington",1900
53071,"Walla Walla County, Washington",22773
53073,"Whatcom County, Washington",88978
53075,"Whitman County, Washington",18485
53077,"Yakima County, Washington",83765
