GEO_ID,NAME,TotalHouse,BelowPoverty
53001,"Adams County, Washington",6035,1121
53003,"Asotin County, Washington",9286,1172
53005,"Benton County, Washington",73073,6802
53007,"Chelan County, Washington",29383,2811
53009,"Clallam County, Washington",33197,4205
53011,"Clark County, Washington",178478,14895
53013,"Columbia County, Washington",1795,181
53015,"Cowlitz County, Washington",42354,5491
53017,"Douglas County, Washington",15435,1538
53019,"Ferry County, Washington",3175,606
53021,"Franklin County, Washington",27263,3577
53023,"Garfield County, Washington",986,73
53025,"Grant County, Washington",31908,4234
53027,"Grays Harbor County, Washington",29433,4240
53029,"Island County, Washington",35326,2845
53031,"Jefferson County, Washington",15051,2050
53033,"King County, Washington",900061,73081
53035,"Kitsap County, Washington",105758,8759
53037,"Kittitas County, Washington",19162,3233
53039,"Klickitat County, Washington",9268,1162
53041,"Lewis County, Washington",31118,4120
53043,"Lincoln County, Washington",4628,448
53045,"Mason County, Washington",25242,2769
53047,"Okanogan County, Washington",17884,3045
53049,"Pacific County, Washington",9714,1381
53051,"Pend Oreille County, Washington",5798,572
53053,"Pierce County, Washington",330999,29910
53055,"San Juan County, Washington",8459,960
53057,"Skagit County, Washington",49263,4665
53059,"Skamania County, Washington",4866,501
53061,"Snohomish County, Washington",298815,20901
53063,"Spokane County, Washington",206502,26925
53065,"Stevens County, Washington",17883,2451
53067,"Thurston County, Washington",112323,10462
53069,"Wahkiakum County, Washington",1900,230
53071,"Walla Walla County, Washington",22773,2918
53073,"Whatcom County, Washington",88978,12797
53075,"Whitman County, Washington",18485,5075
53077,"Yakima County, Washington",83765,12219
