State,NumberChipotle
Alabama,14
Arizona,80
Arkansas,6
California,412
Colorado,77
Connecticut,23
Delaware,8
District of Columbia,19
Florida,160
Georgia,51
Idaho,4
Illinois,139
Indiana,36
Iowa,10
Kansas,26
Kentucky,18
Louisiana,9
Maine,5
Maryland,91
Massachusetts,56
Michigan,36
Minnesota,63
Mississippi,1
Missouri,38
Montana,3
Nebraska,9
Nevada,27
New Hampshire,8
New Jersey,64
New Mexico,8
New York,149
North Carolina,62
North Dakota,1
Ohio,180
Oklahoma,12
Oregon,31
Pennsylvania,86
Rhode Island,8
South Carolina,20
Tennessee,22
Texas,205
Utah,11
Vermont,1
Virginia,101
Washington,39
West Virginia,5
Wisconsin,19
Wyoming,1
